_id,status,timestamp
ObjectId(6537ff8375a71ec1f91df67d),0,2023-10-24T17:31:47.579Z
ObjectId(6537ff9775a71ec1f91df680),1,2023-10-24T17:32:07.624Z
ObjectId(6537ffa175a71ec1f91df683),0,2023-10-24T17:32:17.767Z
ObjectId(6537ffa675a71ec1f91df686),1,2023-10-24T17:32:22.637Z
ObjectId(6537ffab75a71ec1f91df689),0,2023-10-24T17:32:27.644Z
ObjectId(6537ffb075a71ec1f91df68c),1,2023-10-24T17:32:32.650Z
ObjectId(65385612aa2066601fdef66d),0,2023-10-24T23:41:06.873Z
ObjectId(6538563eaa2066601fdef670),1,2023-10-24T23:41:50.472Z
ObjectId(65385677aa2066601fdef673),0,2023-10-24T23:42:47.463Z
ObjectId(65385687aa2066601fdef676),1,2023-10-24T23:43:03.305Z
ObjectId(65385697aa2066601fdef679),0,2023-10-24T23:43:19.885Z
ObjectId(653856bcaa2066601fdef67c),1,2023-10-24T23:43:56.944Z
ObjectId(653856ecaa2066601fdef67f),0,2023-10-24T23:44:44.016Z
ObjectId(65385706aa2066601fdef682),1,2023-10-24T23:45:10.554Z
ObjectId(6538571eaa2066601fdef685),0,2023-10-24T23:45:34.392Z
ObjectId(6538572caa2066601fdef688),1,2023-10-24T23:45:48.460Z
ObjectId(6538573daa2066601fdef68b),0,2023-10-24T23:46:05.857Z
ObjectId(65385751aa2066601fdef68e),1,2023-10-24T23:46:25.939Z
ObjectId(6538577eaa2066601fdef691),0,2023-10-24T23:47:10.498Z
ObjectId(65385787aa2066601fdef694),1,2023-10-24T23:47:19.896Z
ObjectId(65385797aa2066601fdef697),0,2023-10-24T23:47:35.600Z
ObjectId(653857a6aa2066601fdef69a),1,2023-10-24T23:47:50.801Z
ObjectId(653857b2aa2066601fdef69d),0,2023-10-24T23:48:02.646Z
ObjectId(653857bfaa2066601fdef6a0),1,2023-10-24T23:48:15.653Z
ObjectId(653857d3aa2066601fdef6a3),0,2023-10-24T23:48:35.625Z
ObjectId(653857e6aa2066601fdef6a6),1,2023-10-24T23:48:54.685Z
ObjectId(653857f5aa2066601fdef6a9),0,2023-10-24T23:49:09.342Z
